,Title,Pre-Production,Link,start_year,end_year,certificate,runtime,genre,ratings,review,stars,votes
133,Dorohedoro,No,/title/tt11147852/,2020,No Finale yet,18,25 min," Action, Comedy            ",8.2,In a sad town a clan of sorcerers use its people to experiment with the dark arts.,"Wataru Takagi,Reina Kondou,Ken'yû Horiuchi,Yoshimasa Hosoya","5,496"
134,Black Lagoon,No,/title/tt0962826/,2006,No Finale yet,18,25 min," Action, Adventure            ",8.0,"A Japanese businessman, captured by modern-day pirates, is written off and left for dead by his company. Tired of the corporate life, he opts to stick with the mercenaries that kidnapped him, becoming part of their gang.","Megumi Toyoguchi,Daisuke Namikawa,Maryke Hendrikse,Brad Swaile","12,676"
135,Domestic na Kanojo,Yes,/title/tt9817980/,2019,No Finale yet,NA,NA,NA,NA,NA,NA,NA
136,Noragami,Yes,/title/tt3225270/,2014,2016,NA,NA,NA,NA,NA,NA,NA
137,Kiru ra kiru: KILL la KILL,Yes,/title/tt3114390/,2013,2014,NA,NA,NA,NA,NA,NA,NA
138,Biohazard Regeneration,No,/title/tt1174954/,2008,No Finale yet,R,97 min," Action, Horror            ",6.5,"Leon S. Kennedy and Claire Redfield must battle a rogue warrior seeking revenge after unleashing the deadly G-Virus, whilst a mutated monster goes on a rampage.","Makoto Kamiya,Paul Mercier,Alyson Court,Laura Bailey,Roger Craig Smith","29,279"
139,Kuroshitsuji,Yes,/title/tt1316554/,2008,2010,NA,NA,NA,NA,NA,NA,NA
140,Kurenai no buta,No,/title/tt0104652/,1992,No Finale yet,U,94 min," Adventure, Comedy            ",7.7,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.","Hayao Miyazaki,Shûichirô Moriyama,Tokiko Katô,Bunshi Katsura Vi,Tsunehiko Kamijô","80,306"
141,Dragon Ball Z: Doragon bôru zetto,Yes,/title/tt0121220/,1989,1996,NA,NA,NA,NA,NA,NA,NA
142,Shaman King,Yes,/title/tt12502782/,2021,No Finale yet,NA,NA,NA,NA,NA,NA,NA
143,Koto no ha no niwa,No,/title/tt2591814/,2013,No Finale yet,U,46 min," Drama, Romance            ",7.5,A 15-year-old boy and 27-year-old woman find an unlikely friendship one rainy day in the Shinjuku Gyoen National Garden.,"Makoto Shinkai,Miyu Irino,Kana Hanazawa,Fumi Hirano,Gou Maeda","36,804"
144,Yu-Gi-Oh!,Yes,/title/tt0249327/,NA,No Finale yet,NA,NA,NA,NA,NA,NA,NA
145,Made in Abyss,Yes,/title/tt7222086/,2017,No Finale yet,NA,NA,NA,NA,NA,NA,NA
146,RWBY,Yes,/title/tt3066242/,2012,No Finale yet,NA,NA,NA,NA,NA,NA,NA
147,Yahari ore no seishun rabukome wa machigatteiru.,Yes,/title/tt2703720/,2013,No Finale yet,NA,NA,NA,NA,NA,NA,NA
148,Tengen toppa gurren lagann,Yes,/title/tt0948103/,2007,2008,NA,NA,NA,NA,NA,NA,NA
149,Inuyasha,No,/title/tt0290223/,2000,2004,16,24 min," Action, Adventure            ",7.9,A teenage girl periodically travels back in time to feudal Japan to help a young half-demon recover the shards of a jewel of great power.,"Kappei Yamaguchi,Richard Ian Cox,Darren Pleavin,Satsuki Yukino","14,873"
150,Neko no ongaeshi,No,/title/tt0347618/,2002,No Finale yet,G,75 min," Adventure, Comedy            ",7.2,"After helping a cat, a seventeen-year-old girl finds herself involuntarily engaged to a cat Prince in a magical world where her only hope of freedom lies with a dapper cat statuette come to life.","Hiroyuki Morita,Chizuru Ikewaki,Yoshihiko Hakamada,Aki Maeda,Takayuki Yamada","50,713"
151,The God of High School,Yes,/title/tt12227418/,2020,No Finale yet,NA,NA,NA,NA,NA,NA,NA
152,Dragon's Dogma,Yes,/title/tt10011298/,2020,No Finale yet,NA,NA,NA,NA,NA,NA,NA
153,Mirai nikki,Yes,/title/tt2069441/,2011,2013,NA,NA,NA,NA,NA,NA,NA
154,Owari no serafu,No,/title/tt4584326/,2015,No Finale yet,18,24 min," Action, Adventure            ",7.5,"In 2012, the world allegedly comes to an end at the hands of a human-made virus, ravaging the global populace and leaving only children untouched. It is at this time that vampires emerge from the recesses of the earth.","Miyu Irino,Micah Solusod,Saori Hayami,Nobuhiko Okamoto","3,923"
155,Byôsoku 5 senchimêtoru,No,/title/tt0983213/,2007,No Finale yet,U,63 min," Drama, Family            ",7.6,"Told in three interconnected segments, we follow a young man named Takaki through his life as cruel winters, cold technology, and finally, adult obligations and responsibility converge to test the delicate petals of love.","Makoto Shinkai,Kenji Mizuhashi,Yoshimi Kondou,Satomi Hanamura,Ayaka Onoue","52,649"
156,Omoide no Mânî,No,/title/tt3398268/,2014,No Finale yet,U,103 min," Drama, Family            ",7.7,"Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie.","James Simone,Hiromasa Yonebayashi,Sara Takatsuki,Kasumi Arimura,Nanako Matsushima,Susumu Terajima","34,446"
157,Beruseruku,Yes,/title/tt5847454/,2016,2017,NA,NA,NA,NA,NA,NA,NA
158,Army of the Dead: Lost Vegas,Yes,/title/tt13334002/,2016,2017,NA,NA,NA,NA,NA,NA,NA
159,Boku no hîrô akademia THE MOVIE ~ 2-ri no eiyû ~,No,/title/tt7745068/,2018,No Finale yet,UA,96 min," Action, Adventure            ",7.5,All Might and Deku accept an invitation to visit I Island where they battle against a villain who takes the island hostage.,"Kenji Nagasaki,Daiki Yamashita,Kenta Miyake,Mirai Shida,Nobuhiko Okamoto","7,418"
160,Death Parade,Yes,/title/tt4279012/,2015,No Finale yet,NA,NA,NA,NA,NA,NA,NA
